Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       2/230         CCmdTest::testUpload(CCfgRemoteUnit*, long, long) [138]
                0.00    0.00       2/230         CCmdTest::testDownloadAndProcess(CCfgRemoteUnit*, long, long, long) [140]
                0.00    0.00       2/230         CCmdTest::testTerminateRemoteUnit(CCfgRemoteUnit*) [141]
                0.00    0.00       3/230         CCmdTest::waitMessage(int) [49]
                0.00    0.00       4/230         CAppMain::initUsers(int) [135]
                0.00    0.00       4/230         CAppMain::initTableMetadata() [130]
                0.00    0.00       4/230         CAppMain::terminateSequences() [131]
                0.00    0.00       4/230         CAppMain::terminateUsers() [128]
                0.00    0.00       4/230         CAppMain::terminateTablespace() [132]
                0.00    0.00       4/230         CAppMain::terminateTableMetadata() [133]
                0.00    0.00       5/230         CUsers::saveFile(char*) [122]
                0.00    0.00       5/230         CAppMain::initTablespace(int) [127]
                0.00    0.00       5/230         CCmdListener::sendDataMessageToAny(char*, int, unsigned char*, int) [39]
                0.00    0.00       6/230         CTableMetadata::saveFile(char*) [118]
                0.00    0.00       7/230         CAppMain::initSequences(int) [126]
                0.00    0.00       9/230         CCfgContext::initDefaults() [74]
                0.00    0.00      10/230         CSequence::saveFile(char*) [146]
                0.00    0.00     140/230         CCfgConfigTag::loadConfigTagsValue(char*) [105]
[18]     0.0    0.00    0.00     230         warnMsg(int, char const*, char const*, char const*) [18]
-----------------------------------------------
                0.00    0.00     199/199         CCfgConfigTag::addNewConfigTag(int, int, char*) [21]
[19]     0.0    0.00    0.00     199         strNCpyCaseUtil(char*, char*, int, int) [19]
-----------------------------------------------
                0.00    0.00     199/199         CCfgConfigTag::addNewConfigTag(int, int, char*) [21]
[20]     0.0    0.00    0.00     199         strSetEmptyUtil(char*) [20]
-----------------------------------------------
                0.00    0.00     199/199         CCfgConfigTag::buildConfigTags() [104]
[21]     0.0    0.00    0.00     199         CCfgConfigTag::addNewConfigTag(int, int, char*) [21]
                0.00    0.00     199/199         strNCpyCaseUtil(char*, char*, int, int) [19]
                0.00    0.00     199/199         strSetEmptyUtil(char*) [20]
                0.00    0.00     199/246         CCfgConfigTag::debugEntry(int, char const*, char const*, config_tag_struct*) [16]
-----------------------------------------------
                0.00    0.00       3/92          cmd_listener_run(void*) [185]
                0.00    0.00       9/92          CCmdTest::waitMessage(int) [49]
                0.00    0.00      80/92          CCmdListener::resetConnection(connection_struct*) [26]
[22]     0.0    0.00    0.00      92         memSetNullUtil(unsigned char*, int) [22]
-----------------------------------------------
                0.00    0.00      83/83          CCfgConfigTag::loadConfigTagsValue(char*) [105]
[23]     0.0    0.00    0.00      83         strRemoveEolUtil(char*, int) [23]
-----------------------------------------------
                0.00    0.00      70/70          CCfgConfigTag::loadConfigTagsValue(char*) [105]
[24]     0.0    0.00    0.00      70         CCfgConfigTag::setConfigTagValue(char*, char*) [24]
                0.00    0.00    5705/10415       strNCmpCaseUtil(char*, char*, int, int) [15]
                0.00    0.00      47/240         strNCpyUtil(char*, char*, int) [17]
                0.00    0.00      47/246         CCfgConfigTag::debugEntry(int, char const*, char const*, config_tag_struct*) [16]
-----------------------------------------------
                0.00    0.00       1/65          CCfgConfig::loadConfig(char*) [67]
                0.00    0.00       3/65          CCfgListener::loadConfig(CCfgConfigTag*) [83]
                0.00    0.00       6/65          CCfgHostServer::loadConfig(CCfgConfigTag*) [110]
                0.00    0.00      55/65          CCfgRemoteUnit::loadConfig(int, CCfgConfigTag*) [42]
[25]     0.0    0.00    0.00      65         CCfgConfigTag::findConfigTagByName(char*) [25]
                0.00    0.00    4710/10415       strNCmpCaseUtil(char*, char*, int, int) [15]
-----------------------------------------------
                0.00    0.00      40/40          CCmdListener::resetAllConnections() [96]
[26]     0.0    0.00    0.00      40         CCmdListener::resetConnection(connection_struct*) [26]
                0.00    0.00      80/92          memSetNullUtil(unsigned char*, int) [22]
-----------------------------------------------
                0.00    0.00      25/25          CCmdTest::remoteBenchmark2() [139]
[27]     0.0    0.00    0.00      25         CCfgConfig::getRemoteUnitAtPtr(int) [27]
-----------------------------------------------
                0.00    0.00      25/25          CCmdTest::remoteBenchmark2() [139]
[28]     0.0    0.00    0.00      25         CCfgRemoteUnit::getEnabled() [28]
-----------------------------------------------
                0.00    0.00       1/19          cmd_listener_run(void*) [185]
                0.00    0.00      18/19          parserParams(int, char**, cmdline_struct*) [62]
[29]     0.0    0.00    0.00      19         strNCmpUtil(char*, char*, int) [29]
-----------------------------------------------
                0.00    0.00       1/18          CAppMain::initSequences(int) [126]
                0.00    0.00       1/18          CAppMain::initUsers(int) [135]
                0.00    0.00       1/18          CAppMain::initTablespace(int) [127]
                0.00    0.00       1/18          CAppMain::initTableMetadata() [130]
                0.00    0.00       1/18          CAppMain::terminateSequences() [131]
                0.00    0.00       1/18          CAppMain::terminateUsers() [128]
                0.00    0.00       1/18          CAppMain::terminateTablespace() [132]
                0.00    0.00       1/18          CAppMain::terminateTableMetadata() [133]
