Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     34.05     0.00        7     0.00     0.00  CDskShMem::deleteShMemObject()
  0.00     34.05     0.00        6     0.00     0.00  CCfgContext::getTempDir()
  0.00     34.05     0.00        6     0.00     0.00  CCmdRequest::getAction()
  0.00     34.05     0.00        6     0.00     0.94  CDskDiskMan::doReadFileMT(unsigned char**, long*, long, char*, long, long*)
  0.00     34.05     0.00        6     0.00     0.00  CCmdListener::isRunning()
  0.00     34.05     0.00        6     0.00     0.00  CDskDiskGroup::getNumOfDisks()
  0.00     34.05     0.00        5     0.00     0.00  getFileExt(char*, int, char*, int)
  0.00     34.05     0.00        5     0.00     0.00  readFileUtil(char const*, unsigned char**, long*)
  0.00     34.05     0.00        5     0.00     0.00  strCharCountUtil(char*, int, char)
  0.00     34.05     0.00        5     0.00     0.00  strPiece(char*, int, char*, int, char, int)
  0.00     34.05     0.00        5     0.00     0.00  CDataTable::getDataTableFullPath()
  0.00     34.05     0.00        5     0.00     0.00  CDataTable::debug(int, char const*, char const*)
  0.00     34.05     0.00        5     0.00     0.00  CDataTable::loadFile(char*)
  0.00     34.05     0.00        5     0.00     0.00  CDataTable::saveFile(char*)
  0.00     34.05     0.00        5     0.00     0.00  CDataTable::CDataTable(char*, char*, char*, char*, int)
  0.00     34.05     0.00        5     0.00     0.00  CCfgContext::getImgSrcDir()
  0.00     34.05     0.00        5     0.00     0.00  CDskDiskMan::doWriteFileMT(unsigned char*, long, long, char*, long, long*)
  0.00     34.05     0.00        5     0.00     0.00  CDskDiskMan::getDiskGroupPtr(long)
  0.00     34.05     0.00        5     0.00     0.00  CDskDiskMan::getDiskGroupAtPtr(long)
  0.00     34.05     0.00        5     0.00     0.00  CDskDiskMan::doMakeDir(long, long, char*, long*)
  0.00     34.05     0.00        5     0.00     0.00  CDskDiskGroup::getCurrNumDiskDev()
  0.00     34.05     0.00        5     0.00     0.00  CCfgRemoteUnit::loadConfig(int, CCfgConfigTag*)
  0.00     34.05     0.00        5     0.00     0.00  CAppExec::doProcessImage_Simpl(long, image_table_struct*, char*, char*)
  0.00     34.05     0.00        5     0.00     0.00  CAppExec::doProcessImage_Reproj(long, image_table_struct*, char*, char*)
  0.00     34.05     0.00        5     0.00     0.00  CAppExec::doProcessImage_Convert(long, image_table_struct*, char*, char*)
  0.00     34.05     0.00        5     0.00     0.00  CDskShMem::newShMemObjectForWrite(char*, unsigned char*, long)
  0.00     34.05     0.00        4     0.00     0.00  CDataTable::getDataTableName()
  0.00     34.05     0.00        4     0.00     0.00  CCmdListener::sendDataMessageToAny(char*, int, unsigned char*, int)
  0.00     34.05     0.00        4     0.00     0.00  CCmdListener::sendDataMessageToINET(sockaddr_in*, long, unsigned char*, int)
  0.00     34.05     0.00        4     0.00     0.00  CCmdListener::getAvailableConnection()
  0.00     34.05     0.00        4     0.00     0.00  CCfgDiskGroup::getOid()
  0.00     34.05     0.00        3     0.00     0.00  CCfgConfig::getHostServerPtr()
  0.00     34.05     0.00        3     0.00     0.00  CCfgModule::loadConfig(int, CCfgConfigTag*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::getCurrPart()
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::getNumParts()
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::getActionName()
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::getRemoteUnitOid()
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::getActionFromString(char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::parser(char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::getAction()
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::CCmdParser()
  0.00     34.05     0.00        3     0.00     0.00  CCmdParser::~CCmdParser()
  0.00     34.05     0.00        3     0.00     0.00  CCfgContext::getBaseDataFile(char*, int, long, long)
  0.00     34.05     0.00        3     0.00     0.00  CCfgContext::getBaseDataFilePath(char*, int, long, long)
  0.00     34.05     0.00        3     0.00     0.00  CCfgContext::getBaseBlockTableFile(char*, int, long, long)
  0.00     34.05     0.00        3     0.00     0.00  CCfgContext::getBaseBlockTableFilePath(char*, int, long, long)
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::loadConfig(void*, void*, int, int, CCfgConfigTag*)
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::getDataFile()
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::getDataFilePath()
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::getBlockTableFile()
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::getBlockTableFilePath()
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::debug(int, char const*, char const*)
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::getOid()
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskDev::getName()
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::getCurrPart()
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::getNumParts()
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::getRemoteUnitOid()
